ID,Case,Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
28560,4715533,HL509347,07/26/2005 03:06:00 PM,009XX E 81ST ST,460,BATTERY,SIMPLE,STREET,False,False,631,6,8,44,08B,1183806,1851487,2005,04/15/2016 08:55:02 AM,41.747661845,-87.602050448,"(41.747661845, -87.602050448)"
28565,4715539,HL509790,07/26/2005 07:03:00 PM,092XX S DR MARTIN LUTHER KING JR DR,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,RESIDENCE,False,False,633,6,6,49,11,1180538,1843758,2005,04/15/2016 08:55:02 AM,41.726528151,-87.61426191,"(41.726528151, -87.61426191)"
28555,4715524,HL508412,07/26/2005 07:12:00 AM,013XX W 81ST ST,820,THEFT,$500 AND UNDER,STREET,False,False,613,6,21,71,6,1168938,1851056,2005,04/15/2016 08:55:02 AM,41.746812957,-87.656543585,"(41.746812957, -87.656543585)"
7082,4796277,HM410867,07/26/2005 11:00:00 AM,012XX W DIVISION ST,910,MOTOR VEHICLE THEFT,AUTOMOBILE,PARKING LOT/GARAGE(NON.RESID.),False,False,1433,14,32,24,7,,,2005,08/17/2015 03:03:40 PM,,,
28567,4715541,HL510746,07/27/2005 10:59:00 AM,018XX W 78TH ST,930,MOTOR VEHICLE THEFT,THEFT/RECOVERY: AUTOMOBILE,STREET,False,False,611,6,17,71,7,1165599,1852960,2005,04/15/2016 08:55:02 AM,41.752109223,-87.66872467,"(41.752109223, -87.66872467)"
23149,4707834,HM312509,07/27/2005 12:00:00 PM,002XX N LEAMINGTON AVE,281,CRIM SEXUAL ASSAULT,NON-AGGRAVATED,RESIDENCE,True,False,1532,15,28,25,2,1142003,1901105,2005,04/15/2016 08:55:02 AM,41.884694208,-87.754005299,"(41.884694208, -87.754005299)"
1648,4675800,HM277309,07/28/2005 12:00:00 PM,026XX W BARRY AVE,1110,DECEPTIVE PRACTICE,BOGUS CHECK,OTHER,False,False,1411,14,1,21,11,1158241,1920563,2005,04/15/2016 08:55:02 AM,41.937772226,-87.693843971,"(41.937772226, -87.693843971)"
28575,4715552,HL513244,07/28/2005 12:18:27 PM,083XX S VERNON AVE,920,MOTOR VEHICLE THEFT,ATT: AUTOMOBILE,STREET,False,False,632,6,6,44,7,1180805,1849901,2005,04/15/2016 08:55:02 AM,41.743379145,-87.613095562,"(41.743379145, -87.613095562)"
55888,4755052,HL516466,07/29/2005 11:54:45 PM,037XX N WESTERN AVE,560,ASSAULT,SIMPLE,SIDEWALK,False,False,1912,19,47,5,08A,1159713,1924668,2005,04/15/2016 08:55:02 AM,41.949006338,-87.688320563,"(41.949006338, -87.688320563)"
62734,4886000,HL516565,07/30/2005 01:13:39 AM,039XX W DAKIN ST,1310,CRIMINAL DAMAGE,TO PROPERTY,STREET,False,False,1732,17,39,16,14,,,2005,08/17/2015 03:03:40 PM,,,
19677,4702101,HM303537,07/30/2005 12:00:00 AM,126XX S TORRENCE AVE,1140,DECEPTIVE PRACTICE,EMBEZZLEMENT,COMMERCIAL / BUSINESS OFFICE,False,False,434,4,10,51,12,1195862,1821766,2005,04/15/2016 08:55:02 AM,41.665814864,-87.558853882,"(41.665814864, -87.558853882)"
